source,date,fieldwork,rolling,below_threshold,LO,NPA,PCF,LFI,PS,EELV,RE,LR,RES,DLF,RN,REC
Cluster 17,31/03/2022,29-31 mars,no,,"0,005","0,01","0,03","0,16","0,02","0,05","0,27","0,1","0,025","0,03","0,18","0,12"
YouGov,31/03/2022,28-31 mars,no,,0,"0,01","0,02","0,15","0,01","0,06","0,27","0,09","0,03","0,02","0,25","0,09"
OpinionWay,31/03/2022,28-31 mars,yes,,"0,01","0,01","0,03","0,15","0,02","0,05","0,28","0,1","0,03","0,02","0,2","0,1"
Ifop,31/03/2022,28-31 mars,yes,,"0,005","0,005","0,04","0,155","0,015","0,045","0,28","0,1","0,02","0,015","0,21","0,11"
Ipsos,30/03/2022,29-30 mars,no,,"0,005","0,01","0,03","0,155","0,02","0,06","0,275","0,09","0,02","0,025","0,2","0,11"
Elabe,30/03/2022,28-30 mars,no,,"0,005","0,015","0,025","0,155","0,02","0,04","0,28","0,095","0,025","0,025","0,21","0,105"
Ipsos,30/03/2022,27-30 mars,yes,,"0,005","0,015","0,03","0,155","0,015","0,06","0,27","0,09","0,02","0,02","0,205","0,115"
OpinionWay,28/03/2022,25-28 mars,yes,,"0,01","0,01","0,03","0,14","0,02","0,05","0,28","0,11","0,03","0,02","0,2","0,1"
Harris Interractive,28/03/2022,25-28 mars,no,,"0,005","0,01","0,03","0,15","0,025","0,05","0,285","0,095","0,02","0,02","0,21","0,1"
Ifop,28/03/2022,24-28 mars,yes,,"0,005","0,005","0,035","0,14","0,025","0,05","0,28","0,11","0,015","0,015","0,21","0,11"
OpinionWay,27/03/2022,26-27 mars,no,,"0,01","0,01","0,04","0,14","0,02","0,06","0,27","0,1","0,03","0,02","0,2","0,1"
Ipsos,26/03/2022,23-26 mars,yes,,"0,005","0,01","0,035","0,145","0,025","0,06","0,285","0,1","0,025","0,025","0,175","0,11"
OpinionWay,24/03/2022,23-24 mars,no,,"0,01","0,01","0,04","0,14","0,02","0,06","0,27","0,11","0,02","0,02","0,2","0,1"
Ipsos,24/03/2022,21-24 mars,no,,"0,005","0,015","0,035","0,14","0,02","0,07","0,28","0,1","0,025","0,02","0,175","0,115"
Ifop,24/03/2022,21-24 mars,yes,,"0,005","0,005","0,035","0,14","0,02","0,045","0,285","0,115","0,02","0,015","0,2","0,115"
OpinionWay,24/03/2022,21-24 mars,yes,,"0,01","0,01","0,04","0,14","0,02","0,05","0,28","0,12","0,03","0,01","0,2","0,09"
OpinionWay,23/03/2022,22-23 mars,no,,"0,01","0,01","0,04","0,14","0,02","0,06","0,28","0,11","0,02","0,02","0,19","0,1"
BVA,23/03/2022,22-23 mars,no,,"0,005","0,015","0,03","0,145","0,02","0,06","0,28","0,105","0,025","0,015","0,19","0,11"
Kantar,23/03/2022,21-23 mars,no,,"0,01","0,01","0,03","0,14","0,02","0,045","0,29","0,1","0,02","0,025","0,2","0,11"
Ipsos,23/03/2022,20-23 mars,yes,,"0,01","0,01","0,04","0,125","0,02","0,07","0,295","0,095","0,025","0,015","0,185","0,11"
Opinionway,22/03/2022,21-22 mars,no,,"0,01","0,02","0,03","0,14","0,02","0,05","0,29","0,12","0,02","0,02","0,18","0,1"
Opinionway,21/03/2022,20-21 mars,no,,"0,01","0,02","0,03","0,14","0,02","0,06","0,28","0,12","0,02","0,02","0,18","0,1"
Elabe,21/03/2022,20-21 mars,no,,"0,005","0,015","0,035","0,15","0,015","0,045","0,275","0,1","0,03","0,03","0,2","0,1"
Harris Interractive,21/03/2022,18-21 mars,no,,"0,005","0,01","0,03","0,14","0,025","0,05","0,295","0,1","0,02","0,02","0,195","0,11"
OpinionWay,21/03/2022,18-21 mars,yes,,"0,01","0,01","0,04","0,13","0,03","0,05","0,29","0,13","0,02","0,02","0,18","0,09"
Ifop,21/03/2022,17-21 mars,yes,,0,"0,005","0,04","0,14","0,02","0,055","0,28","0,105","0,03","0,015","0,185","0,125"
Opinionway,20/03/2022,19-20 mars,no,,"0,01","0,01","0,04","0,13","0,03","0,05","0,29","0,13","0,03","0,01","0,17","0,1"
Cluster17,20/03/2022,18-20 mars,no,,"0,005","0,015","0,035","0,145","0,015","0,055","0,28","0,105","0,03","0,025","0,165","0,125"
Ipsos,19/03/2022,16-19 mars,yes,,"0,005","0,01","0,035","0,13","0,03","0,06","0,305","0,1","0,03","0,02","0,165","0,11"
Ifop,18/03/2022,17-18 mars,no,LO,"0,0025","0,005","0,04","0,13","0,02","0,055","0,295","0,11","0,02","0,02","0,185","0,12"
Opinionway,17/03/2022,16-17 mars,no,,"0,01","0,01","0,04","0,12","0,02","0,06","0,29","0,11","0,03","0,02","0,18","0,11"
Ifop,17/03/2022,14-17 mars,yes,,"0,005","0,005","0,045","0,125","0,02","0,05","0,3","0,105","0,025","0,015","0,175","0,13"
OpinionWay,17/03/2022,14-17 mars,yes,LO,"0,005","0,01","0,04","0,12","0,03","0,06","0,29","0,12","0,03","0,02","0,17","0,11"
Opinionway,16/03/2022,15-16 mars,no,,"0,01","0,01","0,04","0,11","0,02","0,06","0,29","0,11","0,02","0,03","0,18","0,12"
BVA,16/03/2022,15-16 mars,no,,"0,005","0,005","0,035","0,13","0,025","0,055","0,3","0,1","0,015","0,02","0,18","0,13"
Elabe,16/03/2022,15-16 mars,no,,"0,005","0,01","0,035","0,14","0,015","0,05","0,31","0,115","0,02","0,015","0,18","0,105"
Ipsos,16/03/2022,13-16 mars,yes,,"0,005","0,015","0,04","0,11","0,025","0,065","0,31","0,105","0,025","0,02","0,16","0,12"
OpinionWay,15/03/2022,14-15 mars,no,,"0,01","0,01","0,04","0,12","0,02","0,06","0,3","0,1","0,02","0,02","0,19","0,11"
OpinionWay,14/03/2022,13-14 mars,no,,"0,01","0,01","0,04","0,11","0,03","0,06","0,3","0,1","0,03","0,02","0,18","0,11"
Harris Interractive,14/03/2022,11-14 mars,no,,"0,005","0,01","0,03","0,135","0,025","0,05","0,3","0,105","0,02","0,015","0,195","0,11"
OpinionWay,14/03/2022,11-14 mars,yes,,"0,01","0,01","0,04","0,11","0,03","0,06","0,3","0,11","0,02","0,02","0,18","0,11"
Ipsos,14/03/2022,10-14 mars,no,,"0,005","0,015","0,04","0,12","0,025","0,07","0,29","0,105","0,02","0,02","0,16","0,13"
Ifop,14/03/2022,10-14 mars,yes,,0,"0,01","0,045","0,115","0,02","0,05","0,31","0,11","0,02","0,01","0,18","0,13"
OpinionWay,13/03/2022,12-13 mars,no,,"0,01","0,01","0,04","0,11","0,03","0,06","0,3","0,11","0,02","0,02","0,19","0,1"
Ipsos,12/03/2022,9-12 mars,yes,,"0,005","0,015","0,03","0,12","0,025","0,065","0,305","0,11","0,015","0,015","0,16","0,135"
Odoxa,11/03/2022,9-11 mars,no,,"0,01","0,02","0,035","0,115","0,015","0,045","0,295","0,11","0,03","0,02","0,195","0,11"
OpinionWay,10/03/2022,7-10 mars,yes,,"0,01","0,01","0,04","0,11","0,03","0,05","0,3","0,12","0,02","0,02","0,18","0,11"
Ifop,10/03/2022,7-10 mars,yes,,"0,005","0,005","0,04","0,105","0,02","0,06","0,31","0,125","0,02","0,01","0,18","0,12"
BVA,09/03/2022,8-9 mars,no,,"0,005","0,01","0,03","0,125","0,025","0,055","0,3","0,12","0,015","0,015","0,17","0,13"
Kantar,09/03/2022,7-9 mars,no,,"0,005","0,02","0,03","0,11","0,015","0,04","0,31","0,12","0,02","0,03","0,17","0,13"
OpinionWay,08/03/2022,7-8 mars,no,,"0,01","0,01","0,04","0,11","0,02","0,06","0,3","0,12","0,02","0,02","0,17","0,12"
Elabe,08/03/2022,7-8 mars,no,,"0,01","0,01","0,035","0,13","0,015","0,05","0,335","0,105","0,025","0,025","0,15","0,11"
